Account,Report_Time,Resource_Type,Resource,Current_State,Monitor_DisplayName,Title,Message,Icm_OwningTeamId,Forest,WorkloadName,TeamName,Troubleshooting_Text,Additional_Info,Problem,Incident_ID
,,,,,,"[S500] [OED] [ISSUE]: ""Find"" Feature Not Working Anymore for old messages after a channel has been restor... Looks like Lakshmi from 3s left a comment in the ADO case, 3S likely has to manually re-index, seeing as how its been more than 30d since the restoration. Issue 6174344 [Customer Escalation] [S500] [OED] [ISSUE]: ""Find"" Feature Not Working Anymore for old messages after a channel has been restor... This is assigned out already by Archan 3s Oncall suggested reaching out to , Archan is out for the week, tapped a resource on his team, im not seeing an oncall rotation for their team in ICM. 3s Oncall suggested reaching out to , Archan is out for the week, tapped a resource on his team, im not seeing an oncall rotation for their team in ICM. No update to the ADO. Reaching out to the 3s Univeral Middle Tier Oncall to get some feedback on this one. No update to the ADO. Reaching out to the 3s Univeral Middle Tier Oncall to get some feedback on this one. Transferring to correct team.  Transferring to correct team. Affected Tenant: Issue /Problem Description: A team channel that was deleted by error on 6/29 and restored the same day. After that the find functionality is not working anymore, there are some searches that are showing up and other ones not.  User Affected: Troubleshooting: This is happening to all the users that have access to the channel and occurs in both versions' web and installed application.  1. Are you using the search bar at the top of Teams or the Ctrl+F shortcut within the channel? R/ This is happening when trying to use the Ctrl+F shortcut.  2. Was the channel restored using the Teams Admin Center, PowerShell, or another method? R/ The channel was restored by the Channel owner by using the restore option in the “Manage Team” menu.  3. Were there any retention policies, compliance holds, or SharePoint sync issues involved? R/ As we know there is no policy, hold or sync issue involved in this issue.  4. Are new conversations or files searchable using the Find feature since the channel was restored?  R/ Yes, the new content created after the restoration in the channel are searchable.  5. Does the search issue occur in other Teams channels as well, or is it limited to the restored channel? The issue is limited to the restored channel; the other channels doesn’t have this issue.  Team name: KP Advanced Care at Home Virtual Hub Team Channel name: NEW Patient Care Channel type: Standard.  Analysis done on ICM 666345984: https://portal.microsofticm.com/imp/v5/incidents/details/666345984/summary  The /query call is not returning results for the searched keyword for a message sent before the channel restored. This is a substarte search service issue.  Similar bugs: 2506250030002693  Channel Name: NEW Patient Care  Channel ID: https://teams.microsoft.com/l/channel/19% 27%40thread.tacv2/NEW%20Patient%20Care?groupId= &tenantId= Sharepoint: https://sp-cloud.kp.org/sites/KPAdvancedCareatHomeVirtualHubTeam/Shared%20Documents/NEW%20Patient%20Care  MRN Used: 110010341598  Post related to the MRN: Sweety Gardner: KP Medicare | KP Advanced Care at Home Virtual Hub Team > NEW Patient Care | Microsoft Teams  Message Id of the post: message-body-1752252129323  Other posts failing  Elizabeth Sanderson: Insurance: KP Medicare | KP Advanced Care at Home Virtual Hub Team > NEW Patient Care | Microsoft Teams  Wei Chen: Insurance: KP Medicare | KP Advanced Care at Home Virtual Hub Team > NEW Patient Care | Microsoft Teams  Claire Demercado: KP Medicare | KP Advanced Care at Home Virtual Hub Team > NEW Patient Care | Microsoft Teams  Elizabeth Sanderson: Insurance: KP Commercial (dual coverage) | Spanish & E... | KP Advanced Care at Home Virtual Hub Team > NEW Patient Care | Microsoft Teams  Claire Demercado: KP Medicare | KP Advanced Care at Home Virtual Hub Team > NEW Patient Care | Microsoft Teams  Kassie VanHousen: KP Commercial | KP Advanced Care at Home Virtual Hub Team > NEW Patient Care | Microsoft Teams  Briana A Scott: KP Commercial | KP Advanced Care at Home Virtual Hub Team > NEW Patient Care | Microsoft Teams  Elizabeth Sanderson: Insurance: KP Medicare | Spanish speaking | KP Advanced Care at Home Virtual Hub Team > NEW Patient Care | Microsoft Teams      Latest logs - https://microsoft-my.sharepoint.com/:f:/p/jassanc/Er9AWqp_UadPrdp6ee8UqkUBYzxgRxyvFOcVWzY29sQkZA?e=aPuDaY  Ring: ALL  TenantId: Yes  ImapctedUser: Yes  SearchTrace: Yes  ItemIdentifier: Other Scenario  TSG: Yes  EscalationType: Recall (Low/High)  Enterprise Cloud Customer: Yes Submitted via Assist365 by: Agent: CaseNumber:2507230040006946 Severity:Sev3 TenantId: A customer raised issue for an Enterprise Cloud customer has been detected",,,,,,Troubleshooting: Troubleshooting:,https://portal.microsofticm.com/imp/v5/incidents/details/666345984/summary | https://teams.microsoft.com/l/channel/19% | https://sp-cloud.kp.org/sites/KPAdvancedCareatHomeVirtualHubTeam/Shared%20Documents/NEW%20Patient%20Care | https://microsoft-my.sharepoint.com/:f:/p/jassanc/Er9AWqp_UadPrdp6ee8UqkUBYzxgRxyvFOcVWzY29sQkZA?e=aPuDaY | https://dev.azure.com/O365Exchange/,"[S500] [OED] [ISSUE]: ""Find"" Feature Not Working Anymore for old messages after a channel has been restor... Looks like Lakshmi from 3s left a comment in the ADO case, 3S likely has to manually re-index, seeing as how its been more than 30d since the restoration. Issue 6174344 [Customer Escalation] [S500] [OED] [ISSUE]: ""Find"" Feature Not Working Anymore for old messages after a channel has been restor... This is assigned out already by Archan 3s Oncall suggested reaching out to , Archan is out for the week, tapped a resource on his team, im not seeing an oncall rotation for their team in ICM. 3s Oncall suggested reaching out to , Archan is out for the week, tapped a resource on his team, im not seeing an oncall rotation for their team in ICM. No update to the ADO. Reaching out to the 3s Univeral Middle Tier Oncall to get some feedback on this one. No update to the ADO. Reaching out to the 3s Univeral Middle Tier Oncall to get some feedback on this one. Transferring to correct team.  Transferring to correct team. Affected Tenant: Issue /Problem Description: A team channel that was deleted by error on 6/29 and restored the same day. After that the find functionality is not working anymore, there are some searches that are showing up and other ones not.  User Affected: Troubleshooting: This is happening to all the users that have access to the channel and occurs in both versions' web and installed application.  1. Are you using the search bar at the top of Teams or the Ctrl+F shortcut within the channel? R/ This is happening when trying to use the Ctrl+F shortcut.  2. Was the channel restored using the Teams Admin Center, PowerShell, or another method? R/ The channel was restored by the Channel owner by using the restore option in the “Manage Team” menu.  3. Were there any retention policies, compliance holds, or SharePoint sync issues involved? R/ As we know there is no policy, hold or sync issue involved in this issue.  4. Are new conversations or files searchable using the Find feature since the channel was restored?  R/ Yes, the new content created after the restoration in the channel are searchable.  5. Does the search issue occur in other Teams channels as well, or is it limited to the restored channel? The issue is limited to the restored channel; the other channels doesn’t have this issue.  Team name: KP Advanced Care at Home Virtual Hub Team Channel name: NEW Patient Care Channel type: Standard.  Analysis done on ICM 666345984: https://portal.microsofticm.com/imp/v5/incidents/details/666345984/summary  The /query call is not returning results for the searched keyword for a message sent before the channel restored. This is a substarte search service issue.  Similar bugs: 2506250030002693  Channel Name: NEW Patient Care  Channel ID: https://teams.microsoft.com/l/channel/19% 27%40thread.tacv2/NEW%20Patient%20Care?groupId= &tenantId= Sharepoint: https://sp-cloud.kp.org/sites/KPAdvancedCareatHomeVirtualHubTeam/Shared%20Documents/NEW%20Patient%20Care  MRN Used: 110010341598  Post related to the MRN: Sweety Gardner: KP Medicare | KP Advanced Care at Home Virtual Hub Team > NEW Patient Care | Microsoft Teams  Message Id of the post: message-body-1752252129323  Other posts failing  Elizabeth Sanderson: Insurance: KP Medicare | KP Advanced Care at Home Virtual Hub Team > NEW Patient Care | Microsoft Teams  Wei Chen: Insurance: KP Medicare | KP Advanced Care at Home Virtual Hub Team > NEW Patient Care | Microsoft Teams  Claire Demercado: KP Medicare | KP Advanced Care at Home Virtual Hub Team > NEW Patient Care | Microsoft Teams  Elizabeth Sanderson: Insurance: KP Commercial (dual coverage) | Spanish & E... | KP Advanced Care at Home Virtual Hub Team > NEW Patient Care | Microsoft Teams  Claire Demercado: KP Medicare | KP Advanced Care at Home Virtual Hub Team > NEW Patient Care | Microsoft Teams  Kassie VanHousen: KP Commercial | KP Advanced Care at Home Virtual Hub Team > NEW Patient Care | Microsoft Teams  Briana A Scott: KP Commercial | KP Advanced Care at Home Virtual Hub Team > NEW Patient Care | Microsoft Teams  Elizabeth Sanderson: Insurance: KP Medicare | Spanish speaking | KP Advanced Care at Home Virtual Hub Team > NEW Patient Care | Microsoft Teams      Latest logs - https://microsoft-my.sharepoint.com/:f:/p/jassanc/Er9AWqp_UadPrdp6ee8UqkUBYzxgRxyvFOcVWzY29sQkZA?e=aPuDaY  Ring: ALL  TenantId: Yes  ImapctedUser: Yes  SearchTrace: Yes  ItemIdentifier: Other Scenario  TSG: Yes  EscalationType: Recall (Low/High)  Enterprise Cloud Customer: Yes Submitted via Assist365 by: Agent: CaseNumber:2507230040006946 Severity:Sev3 TenantId: A customer raised issue for an Enterprise Cloud customer has been detected",689436352
Monitor: SydneyClientExceptionMonitor_PROD ( view monitor ),2025-10-02 07:31:33Z ,Resource: PROD_TelemetrySizeExceededException ( open resource in health page ),PROD_TelemetrySizeExceededException,,Hybrid,[SydneyClientExceptionMonitor] A Spike in Client API Exception Events has been detected in DeployRing : PROD,Resource is unhealthy. Expression: expression_PROD = 1699. Alert Condition: alertCondition_PROD = Violated. Lookback duration: 03:00:00.,EXCHANGE\SignalsOnboarding07,,Exchange,SignalsOnboarding07,How to read this page: How to read this page:,https://eng.ms/docs/experiences-devices/m365-core-enterprise-cloud/service-excellence/o365-ecc-live-site/ecc-live-site-documentation/livesite/tsgs/compliantsydney/sydneyclientexceptionmonitor | https://eng.ms/docs/experiences-devices/m365-core-enterprise-cloud/service-excellence/o365-ecc-live-site/ecc-live-site-documentation/livesite/tsgs/compliantsydney/sydneyclientexceptionmonitor,[SydneyClientExceptionMonitor] A Spike in Client API Exception Events has been detected in DeployRing : PROD,692925972
,,,,,,,,,,,,Troubleshooting:,https://*.teams.microsoft.com/ams/ | https://learn.microsoft.com/en-us/microsoftteams/platform/resources/samesite-cookie-update | https://*.teams.microsoft.com/artifacts/ | https://learn.microsoft.com/en-us/microsoftteams/platform/resources/samesite-cookie-update | https://learn.microsoft.com/en-us/microsoftteams/platform/tabs/how-to/tab-requirements,,687283967
Monitor: LLMAPIFailedEventsMonitor_PROD ( view monitor ),2025-10-13 14:41:39Z ,Resource: True_408_PROD ( open resource in health page ),True_408_PROD,,Hybrid,[LLMAPIFailedEventsMonitor]  A Spike in HttpStatus : 408 API Events has been detected in Role : PROD,Resource is unhealthy. Expression: expression_Prod = 745. Alert Condition: alertCondition_Prod = Violated. Lookback duration: 03:00:00.,EXCHANGE\SignalsOnboarding07,,Exchange,SignalsOnboarding07,How to read this page: How to read this page:,https://eng.ms/docs/experiences-devices/m365-core/o365-enterprise-cloud/o365-ecc-live-site/ecc-live-site/livesite/tsgs/llmapi/llmapifailuremonitor | https://eng.ms/docs/experiences-devices/m365-core/o365-enterprise-cloud/o365-ecc-live-site/ecc-live-site/livesite/tsgs/llmapi/llmapifailuremonitor | https://poly-oai-prod-manual-polandcentral.openai.azure.com/openai/deployments/PolandCentral-Gpt-41-longco-001 | https://poly-oai-prod-manual-polandcentral.openai.azure.com/openai/deployments/PolandCentral-Gpt-41-longco-001 | https://poly-oai-prod-manual-westeurope.openai.azure.com/openai/deployments/WestEurope-Gpt-41-longco-001,[LLMAPIFailedEventsMonitor]  A Spike in HttpStatus : 408 API Events has been detected in Role : PROD,697486864
Monitor: MRSFailuresV2 ( view monitor ),2025-07-26 12:59:28Z ,"Resource: CommunicationErrorTransientException-CommunicationException-HttpRequestException-IOException-SocketException_None_NAMP130_False_True_NULL_CM, S500, OED, ACE, CPMC_NULL_ _Onboarding ( open resource in health page )","CommunicationErrorTransientException-CommunicationException-HttpRequestException-IOException-SocketException_None_NAMP130_False_True_NULL_CM,",,Hybrid,[MRSFailureMonitorV2] A migration batch for in NAMP130 has been impacted by a number of MRS exceptions,Resource is unhealthy. Expression: MRSFailedOrStuck = 0. Expression: MRSFailedOrStuckTooMany = 0. Expression: MRSFailuresOnly = 68. Expression: MRSStuckNoFailure = 0. Alert Condition: MRSFailedOrStuck = NoViolation. Alert Condition: MRSFailedOrStuckTooMany = NoViolation. Alert Condition: MRSStuckNoFailure = NoViolation. Alert Condition: MRSFailuresOnly = Violated. Lookback duration: 02:00:00.,EXCHANGE\ECCLSPassiveMonitorTraining,,Exchange,ECCLSPassiveMonitorTraining,How to read this page: How to read this page:,https://eng.ms/docs/experiences-devices/m365-core/o365-enterprise-cloud/o365-ecc-live-site/ecc-live-site/livesite/tsgs/migration/migrationfailuremonitor | https://eng.ms/docs/experiences-devices/m365-core/o365-enterprise-cloud/o365-ecc-live-site/ecc-live-site/livesite/tsgs/migration/migrationfailuremonitor,[MRSFailureMonitorV2] A migration batch for in NAMP130 has been impacted by a number of MRS exceptions,661925752
,,,,,,,,,,,,Troubleshooting: Troubleshooting: Troubleshooting: Troubleshooting:,https://o365exchange.visualstudio.com/DefaultCollection/_workitems/edit/5983199 | https://o365exchange.visualstudio.com/Enterprise%20Cloud/_workitems/edit/5981845 | https://o365exchange.visualstudio.com/Enterprise%20Cloud/_workitems/edit/5978842 | https://o365exchange.visualstudio.com/Enterprise%20Cloud/_workitems/edit/5690233 | https://o365exchange.visualstudio.com/Enterprise%20Cloud/_workitems/edit/3356300,,661897545
Monitor: S360KPISLAMonitorV2 ( view monitor ),2025-07-26 10:47:14Z ,Resource: _yifen_[SFI-ES5.2] 1ES Open Source Vulnerabilities (Operational)_Security_jihyan_ _ _Unknown_CVE-2025-7783 ( open resource in health page ),_yifen_[SFI-ES5.2],,Hybrid,[S360KPISLAMonitorV2] has detected a S360 item near SLA expiration for : [SFI-ES5.2] 1ES Open Source Vulnerabilities (Operational),Resource is unhealthy. Expression: S360KPISLA Expression = 1. Alert Condition: S360KPISLA AlertCondition 1 = Violated. Lookback duration: 12:00:00.,EXCHANGE\ECCLSPassiveMonitorTraining,,Exchange,ECCLSPassiveMonitorTraining,How to read this page:,,[S360KPISLAMonitorV2] has detected a S360 item near SLA expiration for : [SFI-ES5.2] 1ES Open Source Vulnerabilities (Operational),661892362
Monitor: S360KPISLAMonitorV2 ( view monitor ),2025-07-25 10:51:15Z ,Resource: _aafowl_Service Tree Hygiene (DHE)_Global and Trusted_kelliest_ _ _Unknown_DHE-3-1-Remove and replace the Admins (shelri) who are no longer with Microsoft. ( open resource in health page ),_aafowl_Service,,Hybrid,[S360KPISLAMonitorV2] has detected a S360 item near SLA expiration for : Service Tree Hygiene (DHE),Resource is unhealthy. Expression: S360KPISLA Expression = 1. Alert Condition: S360KPISLA AlertCondition 1 = Violated. Lookback duration: 12:00:00.,EXCHANGE\ECCLSPassiveMonitorTraining,,Exchange,ECCLSPassiveMonitorTraining,How to read this page:,,[S360KPISLAMonitorV2] has detected a S360 item near SLA expiration for : Service Tree Hygiene (DHE),661474665
Monitor: MRSFailuresV2 ( view monitor ),2025-07-24 09:45:28Z ,"Resource: MailboxReplicationPermanentException_None_namprd18_False_True_NULL_CM, S500, OED, ACE, CPMC_NULL_ _Onboarding ( open resource in health page )","MailboxReplicationPermanentException_None_namprd18_False_True_NULL_CM,",,Hybrid,[MRSFailureMonitorV2] A migration batch for in namprd18 has been impacted by a number of MRS exceptions,Resource is unhealthy. Expression: MRSFailedOrStuck = 0. Expression: MRSFailedOrStuckTooMany = 0. Expression: MRSFailuresOnly = 41. Expression: MRSStuckNoFailure = 0. Alert Condition: MRSFailedOrStuck = NoViolation. Alert Condition: MRSFailedOrStuckTooMany = NoViolation. Alert Condition: MRSStuckNoFailure = NoViolation. Alert Condition: MRSFailuresOnly = Violated. Lookback duration: 02:00:00.,EXCHANGE\ECCLSPassiveMonitorTraining,,Exchange,ECCLSPassiveMonitorTraining,How to read this page: How to read this page:,"https://jarvis-west-aux-tm.trafficmanager.net:44300/capture/dashboard/O365_Account/TenantMonitoring/TenantPivot/MRSFailuresFailedOrStuck?width=800&height=8000&overrides=[{""query"":""//*[id='Failure']"",""key"":""value"",""replacement"":""MailboxReplicationPermanentException""},{""query"":""//*[id='FailureSide']"",""key"":""value"",""replacement"":""None""},{""query"":""//*[id='Forest']"",""key"":""value"",""replacement"":""namprd18""},{""query"":""//*[id='IsStuck']"",""key"":""value"",""replacement"":""NULL""},{""query"":""//*[id='Status']"",""key"":""value"",""replacement"":""NULL""},{""query"":""//*[id='TenantID']"",""key"":""value"",""replacement"":"" | https://jarvis-west-aux-tm.trafficmanager.net:44300/capture/dashboard/O365_Account/TenantMonitoring/TenantPivot/MRSFailuresOnly?width=800&height=8000&overrides=[{""query"":""//*[id='Failure']"",""key"":""value"",""replacement"":""MailboxReplicationPermanentException""},{""query"":""//*[id='FailureSide']"",""key"":""value"",""replacement"":""None""},{""query"":""//*[id='Forest']"",""key"":""value"",""replacement"":""namprd18""},{""query"":""//*[id='TenantID']"",""key"":""value"",""replacement"":"" | https://eng.ms/docs/experiences-devices/m365-core/o365-enterprise-cloud/o365-ecc-live-site/ecc-live-site/livesite/tsgs/migration/migrationfailuremonitor | https://jarvis-west-aux-tm.trafficmanager.net:44300/capture/dashboard/O365_Account/TenantMonitoring/TenantPivot/MRSFailuresFailedOrStuck?width=800&height=8000&overrides=[{""query"":""//*[id='Failure']"",""key"":""value"",""replacement"":""MailboxReplicationPermanentException""},{""query"":""//*[id='FailureSide']"",""key"":""value"",""replacement"":""None""},{""query"":""//*[id='Forest']"",""key"":""value"",""replacement"":""namprd18""},{""query"":""//*[id='IsStuck']"",""key"":""value"",""replacement"":""NULL""},{""query"":""//*[id='Status']"",""key"":""value"",""replacement"":""NULL""},{""query"":""//*[id='TenantID']"",""key"":""value"",""replacement"":"" | https://jarvis-west-aux-tm.trafficmanager.net:44300/capture/dashboard/O365_Account/TenantMonitoring/TenantPivot/MRSFailuresOnly?width=800&height=8000&overrides=[{""query"":""//*[id='Failure']"",""key"":""value"",""replacement"":""MailboxReplicationPermanentException""},{""query"":""//*[id='FailureSide']"",""key"":""value"",""replacement"":""None""},{""query"":""//*[id='Forest']"",""key"":""value"",""replacement"":""namprd18""},{""query"":""//*[id='TenantID']"",""key"":""value"",""replacement"":""",[MRSFailureMonitorV2] A migration batch for in namprd18 has been impacted by a number of MRS exceptions,661002596
,,,Jeff Krack,,Brad Alford,,,,Praveen Malla,,,Troubleshooting: Troubleshooting:,https://portal.microsofticm.com/imp/v5/incidents/details/660774103/summary | https://portal.microsofticm.com/imp/v5/incidents/details/660774103/summary | https://portal.microsofticm.com/imp/v5/incidents/details/660277367/summary) | https://portal.microsofticm.com/imp/v5/incidents/details/660277367/summary) | https://o365exchange.visualstudio.com/DefaultCollection/_workitems/edit/5971484,,660277941
